No;Title;Year;Genre;Origin;Director;Star;IMDB link
105;Scarface;1983;Drama;USA;Brian De Palma;Al Pacino;https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
106;Monty Python and the Holy Grail;1975;Comedy;UK;Terry Gilliam;Graham Chapman;https://m.media-amazon.com/images/M/MV5BMTU2MTIyNzAyMV5BMl5BanBnXkFtZTcwMDE3NDkxNA@@._V1_.jpg
107;Per qualche dollaro in più;1965;Western;West Germany;Sergio Leone;Clint Eastwood;https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
108;L.A. Confidential;1997;Drama;USA;Curtis Hanson;Kevin Spacey;https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
109;The Apartment;1960;Romance;USA;Billy Wilder;Jack Lemmon;https://www.perasinema.com/wp-content/uploads/2018/02/the_apartment.jpg
110;Metropolis;1927;Drama;Germany;Fritz Lang;Brigitte Helm;https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
111;Jodaeiye Nader az Simin;2011;Drama;Iran;Asghar Farhadi;Payman Maadi;https://m.media-amazon.com/images/M/MV5BMTg2MTc0ODEwOV5BMl5BanBnXkFtZTgwNDAyOTY1MDI@._V1_.jpg
112;Indiana Jones and the Last Crusade;1989;Adventure;USA;Steven Spielberg;Harrison Ford;https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_FMjpg_UX1000_.jpg
113;Rashômon;1950;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://m.media-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_.jpg
114;Up;2009;Adventure;USA;Pete Docter;Edward Asner;https://m.media-amazon.com/images/M/MV5BMTU4NTY1NDc2N15BMl5BanBnXkFtZTcwMDY5OTIzMw@@._V1_.jpg
115;All About Eve;1950;Drama;USA;Joseph L. Mankiewicz;Bette Davis;https://m.media-amazon.com/images/M/MV5BOTA2OWZmZGItZTM3Yy00YjIwLTk3NTgtYThkYjAyZmY4ZWJlXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
116;Batman Begins;2005;Adventure;USA;Christopher Nolan;Christian Bale;https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
117;Yôjinbô;1961;Drama;Japan;Akira Kurosawa;Toshirô Mifune;https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg
118;Some Like It Hot;1959;Comedy;USA;Billy Wilder;Marilyn Monroe;https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
119;Unforgiven;1992;Western;USA;Clint Eastwood;Clint Eastwood;https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
120;Der Untergang;2004;Drama;Italy;Oliver Hirschbiegel;Bruno Ganz;https://www.tuicakademi.org/wp-content/uploads/2021/03/der-untergang-112__v-facebook1200_3667a9.jpg
121;Die Hard;1988;Action;USA;John McTiernan;Bruce Willis;https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
122;The Treasure of the Sierra Madre;1948;Western;USA;John Huston;Humphrey Bogart;https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
123;Heat;1995;Drama;USA;Michael Mann;Al Pacino;https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
124;Ikiru;1952;Drama;Japan;Akira Kurosawa;Takashi Shimura;https://prod-images.tcm.com/Master-Profile-Images/ikiru1952.78970.jpg
125;Incendies;2010;Drama;Canada;Denis Villeneuve;Lubna Azabal;https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
126;Raging Bull;1980;Drama;USA;Martin Scorsese;Robert De Niro;https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_.jpg
127;The Great Escape;1963;Thriller;USA;John Sturges;Steve McQueen;https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg
128;Bacheha-Ye aseman;1997;Drama;Iran;Majid Majidi;Mohammad Amir Naji;https://m.media-amazon.com/images/M/MV5BOGM4YWE5ZjMtNzQ4Ny00NWFmLTk2ZjgtYmVlMTE4NTc4Y2YwXkEyXkFqcGdeQXVyNjAwNTYwNDg@._V1_.jpg
129;El laberinto del fauno;2006;Drama;Mexico;Guillermo del Toro;Ivana Baquero;https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
130;Babam ve Oglum;2005;Drama;Turkey;Çagan Irmak;Çetin Tekindor;https://www.sinevidyo.com/wp-content/uploads/2022/05/babam-ve-oglum2-1024x576.jpg
131;Chinatown;1974;Drama;USA;Roman Polanski;Jack Nicholson;https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
132;The Third Man;1949;Thriller;UK;Carol Reed;Orson Welles;https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
133;Bohemian Rhapsody;2018;Drama;USA;Bryan Singer;Rami Malek;https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_.jpg
134;Tonari no Totoro;1988;Fantasy;Japan;Hayao Miyazaki;Hitoshi Takagi;https://m.media-amazon.com/images/M/MV5BMjEyMzI0Nzc1N15BMl5BanBnXkFtZTgwNjA2MDIyMDE@._V1_.jpg
135;Hauru no ugoku shiro;2004;Adventure;Japan;Hayao Miyazaki;Chieko Baishô;https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
136;Ran;1985;Drama;Japan;Akira Kurosawa;Tatsuya Nakadai;https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
137;Judgment at Nuremberg;1961;Drama;USA;Stanley Kramer;Spencer Tracy;https://m.media-amazon.com/images/M/MV5BODhjY2QwZWMtNzczNC00OWYwLWJlODgtNGMxOTMxNWY2ZGNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
138;El secreto de sus ojos;2009;Thriller;Argentina;Juan José Campanella;Ricardo Darín;https://m.media-amazon.com/images/M/MV5BY2FhZGI5M2QtZWFiZS00NjkwLWE4NWQtMzg3ZDZjNjdkYTJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
139;The Gold Rush;1925;Drama;USA;Charles Chaplin;Charles Chaplin;https://m.media-amazon.com/images/M/MV5BODI0NTFkMTItOTYyNC00MzQ4LTgzZWMtMzdhMDAyOWU5YjA5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_FMjpg_UX1000_.jpg
140;The Bridge on the River Kwai;1957;War;USA;David Lean;William Holden;https://m.media-amazon.com/images/M/MV5BMTMzMTkzOTY1M15BMl5BanBnXkFtZTcwNjkxMTU4Mw@@._V1_.jpg
141;A Beautiful Mind;2001;Drama;USA;Ron Howard;Russell Crowe;https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
142;Lock, Stock and Two Smoking Barrels;1998;Comedy;UK;Guy Ritchie;Jason Flemyng;https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
143;Casino;1995;Drama;France;Martin Scorsese;Robert De Niro;https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
144;Three Billboards Outside Ebbing, Missouri;2017;Drama;USA;Martin McDonagh;Frances McDormand;https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_.jpg
145;On the Waterfront;1954;Drama;USA;Elia Kazan;Marlon Brando;https://m.media-amazon.com/images/M/MV5BMTAyMDIzMzg5OTheQTJeQWpwZ15BbWU4MDUwMDk3OTEx._V1_.jpg
146;Det sjunde inseglet;1957;Drama;Sweden;Ingmar Bergman;Max von Sydow;https://turkcealtyazi.org/film/backdrops/9367a30b7829d59c47189a495157b415.jpg
147;Inside Out;2015;Comedy;USA;Pete Docter;Amy Poehler;https://m.media-amazon.com/images/M/MV5BMjAyNDg5MjEwMl5BMl5BanBnXkFtZTgwODQyNDM5NTE@._V1_.jpg
148;The Elephant Man;1980;Drama;USA;David Lynch;Anthony Hopkins;https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
149;Room;2015;Drama;Canada;Lenny Abrahamson;Brie Larson;https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_.jpg
150;The Wolf of Wall Street;2013;Drama;USA;Martin Scorsese;Leonardo DiCaprio;https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_FMjpg_UX1000_.jpg
151;Mr. Smith Goes to Washington;1939;Drama;USA;Frank Capra;James Stewart;https://m.media-amazon.com/images/S/aplus-media/vc/95e93e4c-f50d-4453-801b-9b3a57c8566f.__CR0,0,970,600_PT0_SX970_V1___.jpg
152;V for Vendetta;2005;Drama;Germany;James McTeigue;Hugo Weaving;https://evrimagaci.org/public/content_media/b7841440a3acbd5986534bb258bd4ceb.jpg
153;Warrior;2011;Drama;USA;Gavin O'Connor;Andrew Koji;https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_.jpg
154;Blade Runner;1982;Thriller;Hong Kong;Ridley Scott;Harrison Ford;https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
155;Dial M for Murder;1954;Thriller;USA;Alfred Hitchcock;Ray Milland;https://m.media-amazon.com/images/M/MV5BNjk2NTIyNzE4NV5BMl5BanBnXkFtZTcwODQyODMwOQ@@._V1_.jpg
156;Smultronstället;1957;Romance;Sweden;Ingmar Bergman;Victor Sjöström;https://m.media-amazon.com/images/M/MV5BZWQ0YzM3MTUtOGQ5YS00ZGY0LWIzMTUtY2JmNGFmMWE0MTczXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_.jpg
157;The General;1926;Comedy;USA;Clyde Bruckman;Buster Keaton;https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
158;No Country for Old Men;2007;Drama;USA;Ethan Coen;Tommy Lee Jones;https://m.media-amazon.com/images/M/MV5BMTc4MDczMjkyNl5BMl5BanBnXkFtZTcwNzczODI3OA@@._V1_.jpg
159;Trainspotting;1996;Drama;UK;Danny Boyle;Ewan McGregor;https://m.media-amazon.com/images/M/MV5BNTI4NTMzYjctZDE0Ni00NTcwLWE5NzQtMjgxZDZkNTQ4YWE4XkEyXkFqcGdeQW1pYnJ5YW50._V1_.jpg
160;There Will Be Blood;2007;Drama;USA;Paul Thomas Anderson;Daniel Day-Lewis;https://m.media-amazon.com/images/M/MV5BMjEyNDcyODA3M15BMl5BanBnXkFtZTcwOTcwNjExNA@@._V1_.jpg
161;The Sixth Sense;1999;Drama;USA;M. Night Shyamalan;Bruce Willis;https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_FMjpg_UX1000_.jpg
162;Gone with the Wind;1939;War;USA;Victor Fleming;Clark Gable;https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
163;The Thing;1982;Horror;USA;John Carpenter;Kurt Russell;https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
164;Fargo;1996;Drama;USA;Joel Coen;William H. Macy;https://m.media-amazon.com/images/M/MV5BYjBiMzY5NGMtZjdiMS00MjBmLWIyZTMtMjBjNmFjZGI0MmJiXkEyXkFqcGdeQWpnYW1i._V1_.jpg
165;Gran Torino;2008;Drama;USA;Clint Eastwood;Clint Eastwood;https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_FMjpg_UX1000_.jpg
166;Roma ;2018;Drama;Mexico;Alfonso Cuarón;Yalitza Aparicio;https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_FMjpg_UX1000_.jpg
167;The Deer Hunter;1978;Drama;USA;Michael Cimino;Robert De Niro;https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
168;Finding Nemo;2003;Adventure;USA;Andrew Stanton;Albert Brooks;https://www.petitcollective.com/responsive_filemanager/source/nemoo.jpg
169;Idi i smotri;1985;Drama;Soviet Union;Elem Klimov;Aleksey Kravchenko;https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
170;The Big Lebowski;1998;Comedy;USA;Joel Coen;Jeff Bridges;https://www.otekisinema.com/wp-content/uploads/2016/11/The-Big-Lebowski-the-big-lebowski-30868830-1920-1080-660x330.jpg
171;Shutter Island;2010;Thriller;USA;Martin Scorsese;Leonardo DiCaprio;https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
172;Sherlock Jr.;1924;Romance;USA;Buster Keaton;Buster Keaton;https://m.media-amazon.com/images/M/MV5BMjA5NDIxMzUwNV5BMl5BanBnXkFtZTcwNjkyMDMzNA@@._V1_.jpg
173;Kill Bill: Vol. 1;2003;Action;USA;Quentin Tarantino;Uma Thurman;https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
174;Cool Hand Luke;1967;Drama;USA;Stuart Rosenberg;Paul Newman;https://m.media-amazon.com/images/M/MV5BNjcwNTQ3Y2EtMjdmZi00ODBhLWFhNzQtOTc3MWU5NTZlMDViXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
175;Rebecca;1940;Thriller;USA;Alfred Hitchcock;Laurence Olivier;https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
176;Tôkyô monogatari;1953;Drama;Japan;Yasujirô Ozu;Chishû Ryû;https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
177;Mary and Max;2009;Drama;Australia;Adam Elliot;Toni Collette;https://m.media-amazon.com/images/M/MV5BMTcxNTY3OTYxMF5BMl5BanBnXkFtZTcwNjg5ODM5Mg@@._V1_.jpg
178;Hacksaw Ridge;2016;Drama;USA;Mel Gibson;Andrew Garfield;https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_FMjpg_UX1000_.jpg
179;Gone Girl;2014;Thriller;USA;David Fincher;Ben Affleck;https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_FMjpg_UX1000_.jpg
180;How to Train Your Dragon;2010;Comedy;USA;Dean DeBlois;Jay Baruchel;https://images.thedirect.com/media/article_full/how-to-train-your-dragon.jpg
181;Sunrise: A Song of Two Humans;1927;Romance;USA;F.W. Murnau;George O'Brien;https://i.guim.co.uk/img/static/sys-images/Arts/Arts_/Pictures/2011/11/16/1321439702064/Janet-Gaynor-George-OBrie-007.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=cfe2d47e96b175ffd0e0cf92af996c29
182;Relatos salvajes;2014;Drama;Argentina;Damián Szifron;Darío Grandinetti;https://m.media-amazon.com/images/M/MV5BNGQzY2Y0MTgtMDA4OC00NjM3LWI0ZGQtNTJlM2UxZDQxZjI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
183;Jurassic Park;1993;Adventure;USA;Steven Spielberg;Sam Neill;https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_FMjpg_UX1000_.jpg
184;Into the Wild;2007;Drama;USA;Sean Penn;Emile Hirsch;https://m.media-amazon.com/images/M/MV5BMTM1MjQzMDA5NV5BMl5BanBnXkFtZTcwMDk5MDg3Mw@@._V1_.jpg
185;Life of Brian;1979;Comedy;UK;Terry Jones;Graham Chapman;https://m.media-amazon.com/images/M/MV5BZGM0MzE0NGMtODlmYS00YzgxLTlhZGItMDJlZTFjODQ5M2NkXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg
186;In the Name of the Father;1993;Drama;UK;Jim Sheridan;Daniel Day-Lewis;https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
187;The Truman Show;1998;Drama;USA;Peter Weir;Jim Carrey;https://m.media-amazon.com/images/I/71Lsq7KtFML._AC_UF894,1000_QL80_.jpg
188;The Grand Budapest Hotel;2014;Drama;USA;Wes Anderson;Ralph Fiennes;https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_FMjpg_UX1000_.jpg
189;Platoon;1986;Drama;USA;Oliver Stone;Charlie Sheen;https://m.media-amazon.com/images/M/MV5BMTM1NzEyOTIyMF5BMl5BanBnXkFtZTcwMjg1MzgxNA@@._V1_.jpg
190;Stand by Me;1986;Drama;USA;Rob Reiner;Wil Wheaton;https://iyikigormusum.com/uploads/fb47b35846f51893ad388ce8ef6a5c1c.jpeg
191;It Happened One Night;1934;Comedy;USA;Frank Capra;Clark Gable;https://m.media-amazon.com/images/M/MV5BNzExODkzNjktYTE0Yi00NTFhLWEwY2YtNTc1ZDE5N2ZkOGM4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
192;Eskiya ;1996;Drama;Turkey;Yavuz Turgul;Þener Þen;https://m.media-amazon.com/images/M/MV5BOGQ4ZjFmYjktOGNkNS00OWYyLWIyZjgtMGJjM2U1ZTA0ZTlhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
193;Network;1976;Drama;USA;Sidney Lumet;Faye Dunaway;https://m.media-amazon.com/images/M/MV5BZjUzNGZiOTctMjlhZi00MjhlLWFiYTMtNTBhNzhmOTdhZTI2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg
194;Stalker;1979;Drama;Soviet Union;Andrei Tarkovsky;Alisa Freyndlikh;https://m.media-amazon.com/images/M/MV5BYTE5MDJkMzQtZjFmYi00NzgyLWE2YmQtNzA2NmY4Mjk0MjFkXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_FMjpg_UX1000_.jpg
195;Persona;1966;Drama;Sweden;Ingmar Bergman;Bibi Andersson;https://m.media-amazon.com/images/M/MV5BYmFlOTcxMWUtZTMzMi00NWIyLTkwOTEtNjIxNmViNzc2Yzc1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
196;Salinui chueok;2003;Thriller;South Korea;Joon-ho Bong;Song Kang-ho;https://assets.mubicdn.net/images/artworks/510920/images-original.png?1673347078
197;Ben-Hur;1959;History;USA;William Wyler;Charlton Heston;https://www.antraktsinema.com/images/pimages/201609/makale2_1474303467.jpg
198;Hotel Rwanda;2004;History;South Africa;Terry George;Don Cheadle;https://images-na.ssl-images-amazon.com/images/S/pv-target-images/3633754e4682981b6f5e98a2e57d038d1be547f621d1064bd3c8e59962722844._UY500_UX667_RI_TTW_.jpg
199;12 Years a Slave;2013;History;USA;Steve McQueen;Chiwetel Ejiofor;https://m.media-amazon.com/images/M/MV5BMTM5MTU3MDQ4Ml5BMl5BanBnXkFtZTgwOTQ5MTE0MDE@._V1_.jpg
200;Million Dollar Baby;2004;Drama;USA;Clint Eastwood;Hilary Swank;https://cdn.britannica.com/33/176933-050-252D9226/Clint-Eastwood-Hilary-Swank-Million-Dollar-Baby.jpg
201;La passion de Jeanne d'Arc;1928;History;France;Carl Theodor Dreyer;Maria Falconett;https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
202;Rush;2013;Drama;Germany;Ron Howard;Daniel Brühl;https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
203;Andrey Rublev;1966;History;Soviet Union;Andrei Tarkovsky;Anatoliy Solonitsyn;https://m.media-amazon.com/images/M/MV5BM2U2MzYwMzAtM2Q2Zi00OTJhLTgxMjEtOGM0NDk5Mzk4MzE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_FMjpg_UX1000_.jpg
204;Le salaire de la peur;1953;Drama;Italy;Henri-Georges Clouzot;Yves Montand;https://www.cinematheque.fr/cache/media/01-films/salaire-de-la-peur-1953-13b/s,910-2a2a3f.jpg
205;Before Sunrise;1995;Romance;Switzerland;Richard Linklater;Ethan Hawke;https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
206;Mad Max: Fury Road;2015;Adventure;USA;George Miller;Tom Hardy;https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
207;Les quatre cents coups;1959;Drama;France;François Truffaut;Jean-Pierre Léaud;https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
208;Prisoners;2013;Drama;USA;Denis Villeneuve;Hugh Jackman;https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_.jpg
209;Hachi: A Dog's Tale;2009;Drama;USA;Lasse Hallström;Richard Gere;https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
210;Spotlight;2015;Drama;USA;Tom McCarthy;Mark Ruffalo;https://i0.wp.com/filmloverss.com/wp-content/uploads/2016/03/Spotlight-FilmLoverss.jpg?fit=720%2C400&ssl=1
211;Logan;2017;Drama;USA;James Mangold;Hugh Jackman;https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
